ID_PESQUISA;DATA_PESQUISA;MUNICÍPIO;ESTADO;INTENÇÃO DE VOTO
P2;11/09/2022;Macapá;AP;B
P2;11/09/2022;Brasília;DF;B
P2;11/09/2022;Mucajaí;RR;B
P2;11/09/2022;Aurora do Pará;PA;A
P2;11/09/2022;Alto Alegre;RR;B
P2;11/09/2022;Forquilha;CE;A
P2;11/09/2022;Parnarama;MA;A
P2;11/09/2022;Limoeiro de Anadia;AL;A
P2;11/09/2022;Videira;SC;B
P2;11/09/2022;São Vicente Férrer;PE;B
P2;11/09/2022;Porto da Folha;SE;A
P2;11/09/2022;Quebrangulo;AL;A
P2;11/09/2022;Laranjal do Jari;AP;A
P2;11/09/2022;Piancó;PB;A
P2;11/09/2022;Humaitá;AM;A
P2;11/09/2022;Limoeiro de Anadia;AL;B
P2;11/09/2022;Candeias;BA;A
P2;11/09/2022;Almeirim;PA;B
P2;11/09/2022;Rorainópolis;RR;B
P2;11/09/2022;Maceió;AL;A
P2;11/09/2022;Itajaí;SC;B
P2;11/09/2022;Braço do Trombudo;SC;B
P2;11/09/2022;Mossoró;RN;A
P2;11/09/2022;São Paulo;SP;A
P2;11/09/2022;Brasília;DF;A
P2;11/09/2022;Jaraguari;MS;B
P2;11/09/2022;Vilhena;RO;B
P2;11/09/2022;Machadinho D'Oeste;RO;B
P2;11/09/2022;Bela Vista;MS;B
P2;11/09/2022;Ilha de Itamaracá;PE;B
P2;11/09/2022;Macapá;AP;A
P2;11/09/2022;Alto Alegre;RR;A
P2;11/09/2022;Piraquê;TO;A
P2;11/09/2022;Mossoró;RN;B
P2;11/09/2022;#N/D;#N/D;#N/D
P2;11/09/2022;Rio das Ostras;RJ;B
P2;11/09/2022;Talismã;TO;B
P2;11/09/2022;Ecoporanga;ES;B
P2;11/09/2022;Itarana;ES;A
P2;11/09/2022;Caracaraí;RR;B
P2;11/09/2022;São Paulo;SP;B
P2;11/09/2022;Senador Guiomard;AC;A
P2;11/09/2022;Goiânia;GO;B
P2;11/09/2022;Timon;MA;A
P2;11/09/2022;Ananás;TO;A
P2;11/09/2022;Carolina;MA;A
P2;11/09/2022;Itaboraí;RJ;B
P2;11/09/2022;Biguaçu;SC;B
P2;11/09/2022;Guarapari;ES;A
