ID_PESQUISA;DATA_PESQUISA;MUNICÍPIO;ESTADO;INTENÇÃO DE VOTO
P4;25/09/2022;Camalaú;PB;A
P4;25/09/2022;Santana;AP;B
P4;25/09/2022;Buíque;PE;A
P4;25/09/2022;Itabaiana;SE;A
P4;25/09/2022;Pinheiro;MA;A
P4;25/09/2022;Couto Magalhães;TO;A
P4;25/09/2022;Tabatinga;SP;B
P4;25/09/2022;Paudalho;PE;A
P4;25/09/2022;Boa Vista;RR;B
P4;25/09/2022;Parnarama;MA;A
P4;25/09/2022;Coqueiro Seco;AL;B
P4;25/09/2022;Senador Canedo;GO;A
P4;25/09/2022;Alenquer;PA;A
P4;25/09/2022;Santa Tereza do Tocantins;TO;B
P4;25/09/2022;São José da Laje;AL;A
P4;25/09/2022;Palmeira dos Índios;AL;B
P4;25/09/2022;Arapiraca;AL;A
P4;25/09/2022;Santarém Novo;PA;A
P4;25/09/2022;Itapajé;CE;A
P4;25/09/2022;Uirapuru;GO;B
P4;25/09/2022;Bom Jardim;PE;A
P4;25/09/2022;Brasília;DF;B
P4;25/09/2022;Mossoró;RN;A
P4;25/09/2022;Macapá;AP;B
P4;25/09/2022;Itapipoca;CE;A
P4;25/09/2022;Campo Grande;AL;A
P4;25/09/2022;Brasília;DF;B
P4;25/09/2022;Brasília;DF;A
P4;25/09/2022;Atalaia;AL;A
P4;25/09/2022;Messias Targino;RN;A
P4;25/09/2022;Talismã;TO;B
P4;25/09/2022;Duque de Caxias;RJ;A
P4;25/09/2022;Sete Lagoas;MG;B
P4;25/09/2022;Cruzmaltina;PR;B
P4;25/09/2022;Santo Antônio do Tauá;PA;A
P4;25/09/2022;Francisco Morato;SP;A
P4;25/09/2022;São Roque do Canaã;ES;B
P4;25/09/2022;Chapada da Natividade;TO;A
P4;25/09/2022;Baía Formosa;RN;A
P4;25/09/2022;Brasília;DF;B
P4;25/09/2022;Itapema;SC;B
P4;25/09/2022;Cruzeiro do Sul;AC;B
P4;25/09/2022;Castelo do Piauí;PI;A
P4;25/09/2022;Aquidabã;SE;A
P4;25/09/2022;Campestre do Maranhão;MA;A
P4;25/09/2022;Marataízes;ES;B
P4;25/09/2022;Maracanã;PA;A
P4;25/09/2022;Marituba;PA;A
P4;25/09/2022;Aracruz;ES;B
P4;25/09/2022;Macapá;AP;A
P4;25/09/2022;Canabrava do Norte;MT;B
P4;25/09/2022;Serra do Navio;AP;B
P4;25/09/2022;Brasília;DF;B
P4;25/09/2022;Caracaraí;RR;B
P4;25/09/2022;Ouvidor;GO;B
P4;25/09/2022;Campo Grande;MS;A
P4;25/09/2022;Campina Grande;PB;A
P4;25/09/2022;Forquilha;CE;A
P4;25/09/2022;Fortaleza;CE;A
P4;25/09/2022;Comodoro;MT;A
P4;25/09/2022;Portão;RS;B
P4;25/09/2022;Laranjal do Jari;AP;B
P4;25/09/2022;Brasília;DF;A
P4;25/09/2022;Terenos;MS;A
P4;25/09/2022;Medeiros Neto;BA;A
P4;25/09/2022;Colatina;ES;B
P4;25/09/2022;Curuá;PA;B
P4;25/09/2022;Jaguarão;RS;B
P4;25/09/2022;Macaíba;RN;B
P4;25/09/2022;Babaçulândia;TO;A
P4;25/09/2022;Teresina;PI;A
P4;25/09/2022;Nova Veneza;GO;A
P4;25/09/2022;Brasília;DF;A
P4;25/09/2022;Campina Grande;PB;A
P4;25/09/2022;Chapadinha;MA;B
P4;25/09/2022;Alto Alegre;RR;B
P4;25/09/2022;Condado;PE;A
P4;25/09/2022;Alto Alegre;RR;A
P4;25/09/2022;Aracaju;SE;B
P4;25/09/2022;Itacoatiara;AM;A
P4;25/09/2022;Laranjal do Jari;AP;B
P4;25/09/2022;Pirambu;SE;A
P4;25/09/2022;Formosa;GO;B
P4;25/09/2022;Vitória;ES;A
P4;25/09/2022;Rio Maria;PA;A
P4;25/09/2022;Passa Quatro;MG;A
P4;25/09/2022;Laranjal do Jari;AP;B
P4;25/09/2022;Tarauacá;AC;B
P4;25/09/2022;Cantá;RR;B
P4;25/09/2022;Oiapoque;AP;A
P4;25/09/2022;Araguaçu;TO;B
P4;25/09/2022;Betim;MG;B
P4;25/09/2022;Forquilha;CE;B
P4;25/09/2022;Jaboatão dos Guararapes;PE;A
P4;25/09/2022;São Miguel Arcanjo;SP;A
P4;25/09/2022;Planalto;RS;B
P4;25/09/2022;Porto Walter;AC;B
P4;25/09/2022;Moreilândia;PE;A
P4;25/09/2022;Ibirajuba;PE;A
P4;25/09/2022;Macapá;AP;B
P4;25/09/2022;Faxinal;PR;B
P4;25/09/2022;Macapá;AP;A
P4;25/09/2022;Lajes;RN;A
P4;25/09/2022;Alvorada D'Oeste;RO;B
P4;25/09/2022;Ouro Preto do Oeste;RO;A
P4;25/09/2022;Ponte Alta do Bom Jesus;TO;B
