ID_PESQUISA;DATA_PESQUISA;MUNICÍPIO;ESTADO;INTENÇÃO DE VOTO
P5;02/10/2022;Macapá;AP;B
P5;02/10/2022;Olinda;PE;A
P5;02/10/2022;Marcos Parente;PI;A
P5;02/10/2022;Imaculada;PB;A
P5;02/10/2022;Ipiaú;BA;B
P5;02/10/2022;Tracuateua;PA;A
P5;02/10/2022;Ananindeua;PA;A
P5;02/10/2022;Montezuma;MG;B
P5;02/10/2022;Porto Alegre do Piauí;PI;B
P5;02/10/2022;Catuípe;RS;B
P5;02/10/2022;Itapeva;SP;B
P5;02/10/2022;Rio de Janeiro;RJ;B
P5;02/10/2022;Porto Alegre;RS;B
P5;02/10/2022;Manaquiri;AM;A
P5;02/10/2022;Manaus;AM;B
P5;02/10/2022;Cerqueira César;SP;B
P5;02/10/2022;Marília;SP;B
P5;02/10/2022;Rio das Ostras;RJ;B
P5;02/10/2022;Campinas;SP;A
P5;02/10/2022;Dourados;MS;B
P5;02/10/2022;Jaboatão dos Guararapes;PE;A
P5;02/10/2022;Rio de Janeiro;RJ;A
P5;02/10/2022;Santana;AP;A
P5;02/10/2022;São Miguel Arcanjo;SP;B
P5;02/10/2022;Salvador;BA;A
P5;02/10/2022;Monsenhor Paulo;MG;A
P5;02/10/2022;Aurora;CE;B
P5;02/10/2022;Capoeiras;PE;A
P5;02/10/2022;São Bento do Sapucaí;SP;A
P5;02/10/2022;Limoeiro de Anadia;AL;B
P5;02/10/2022;São Paulo;SP;A
P5;02/10/2022;Santa Rosa do Sul;SC;A
P5;02/10/2022;Luís Eduardo Magalhães;BA;A
P5;02/10/2022;Teresópolis;RJ;A
P5;02/10/2022;Santo Antônio do Jacinto;MG;B
P5;02/10/2022;Piraí do Sul;PR;B
P5;02/10/2022;Campina do Monte Alegre;SP;B
P5;02/10/2022;Araguaína;TO;A
P5;02/10/2022;Pedro Leopoldo;MG;B
P5;02/10/2022;Laranjal do Jari;AP;B
P5;02/10/2022;Vale do Anari;RO;A
P5;02/10/2022;Camaçari;BA;A
P5;02/10/2022;São José dos Basílios;MA;A
P5;02/10/2022;Pequizeiro;TO;B
P5;02/10/2022;Alto Alegre dos Parecis;RO;B
P5;02/10/2022;Sena Madureira;AC;A
P5;02/10/2022;Brasília;DF;B
P5;02/10/2022;Parnamirim;RN;A
P5;02/10/2022;Franca;SP;A
P5;02/10/2022;Ribeirão Pires;SP;B
P5;02/10/2022;Pendências;RN;A
P5;02/10/2022;Novo Lino;AL;A
P5;02/10/2022;Oeiras do Pará;PA;A
P5;02/10/2022;Riachão do Bacamarte;PB;A
P5;02/10/2022;Guarujá;SP;A
P5;02/10/2022;Coqueiro Seco;AL;B
P5;02/10/2022;Nova Cantu;PR;B
P5;02/10/2022;Poá;SP;B
P5;02/10/2022;Turiaçu;MA;A
P5;02/10/2022;Jaraguá;GO;B
P5;02/10/2022;Ibatiba;ES;A
P5;02/10/2022;Rio das Ostras;RJ;A
P5;02/10/2022;Brasília;DF;B
P5;02/10/2022;Caruaru;PE;B
P5;02/10/2022;Belém;PA;B
P5;02/10/2022;São Gonçalo;RJ;A
P5;02/10/2022;Lagoa do Barro do Piauí;PI;A
P5;02/10/2022;Montauri;RS;A
P5;02/10/2022;Barcarena;PA;A
P5;02/10/2022;Primavera do Leste;MT;B
P5;02/10/2022;São Miguel do Tapuio;PI;A
P5;02/10/2022;Canguçu;RS;B
P5;02/10/2022;Cotriguaçu;MT;B
P5;02/10/2022;Urutaí;GO;B
P5;02/10/2022;Macapá;AP;B
P5;02/10/2022;Eunápolis;BA;B
P5;02/10/2022;São Gonçalo do Amarante;RN;A
P5;02/10/2022;Canoas;RS;B
P5;02/10/2022;Canguçu;RS;B
P5;02/10/2022;Tianguá;CE;A
P5;02/10/2022;Passagem;PB;A
P5;02/10/2022;Cunha;SP;A
P5;02/10/2022;João Pessoa;PB;A
P5;02/10/2022;Santana do Ipanema;AL;B
P5;02/10/2022;Rio das Ostras;RJ;B
P5;02/10/2022;Lagamar;MG;B
P5;02/10/2022;Canguaretama;RN;A
P5;02/10/2022;Quixaba;PE;A
P5;02/10/2022;Porto Velho;RO;B
P5;02/10/2022;Hortolândia;SP;B
P5;02/10/2022;Piracicaba;SP;A
P5;02/10/2022;Rio de Janeiro;RJ;B
P5;02/10/2022;Brasília;DF;B
P5;02/10/2022;Rio de Janeiro;RJ;B
P5;02/10/2022;Maceió;AL;A
P5;02/10/2022;Alto Santo;CE;B
P5;02/10/2022;Itapura;SP;B
P5;02/10/2022;Alto Alegre;RR;B
P5;02/10/2022;Goianésia;GO;B
P5;02/10/2022;Itaiópolis;SC;B
P5;02/10/2022;Santa Isabel;SP;A
P5;02/10/2022;Aparecida de Goiânia;GO;B
P5;02/10/2022;Urupá;RO;B
P5;02/10/2022;Campo Grande;MS;A
P5;02/10/2022;Imperatriz;MA;A
P5;02/10/2022;Vila Velha;ES;A
P5;02/10/2022;Rio das Ostras;RJ;B
P5;02/10/2022;Tunas do Paraná;PR;A
P5;02/10/2022;Maracaju;MS;B
P5;02/10/2022;Ribeirão Preto;SP;B
P5;02/10/2022;Lagoa de Dentro;PB;B
P5;02/10/2022;Bataguassu;MS;B
P5;02/10/2022;Marapanim;PA;B
P5;02/10/2022;Palmeirópolis;TO;B
P5;02/10/2022;Rio de Janeiro;RJ;B
P5;02/10/2022;Jequié;BA;A
P5;02/10/2022;Teresina;PI;B
P5;02/10/2022;Canguaretama;RN;B
P5;02/10/2022;Itabaiana;SE;B
P5;02/10/2022;Manaquiri;AM;B
P5;02/10/2022;Mamanguape;PB;A
P5;02/10/2022;São Bento do Sapucaí;SP;B
P5;02/10/2022;Manoel Urbano;AC;A
P5;02/10/2022;Crateús;CE;A
P5;02/10/2022;Conceição do Lago-Açu;MA;A
P5;02/10/2022;Aparecida;SP;B
P5;02/10/2022;Minaçu;GO;A
P5;02/10/2022;Seropédica;RJ;B
P5;02/10/2022;Recife;PE;B
P5;02/10/2022;Laje do Muriaé;RJ;A
P5;02/10/2022;Passagem Franca do Piauí;PI;A
P5;02/10/2022;Sooretama;ES;B
P5;02/10/2022;São Paulo;SP;A
P5;02/10/2022;Natal;RN;B
P5;02/10/2022;Porto Walter;AC;B
P5;02/10/2022;São Paulo;SP;B
P5;02/10/2022;Craíbas;AL;A
P5;02/10/2022;Mirante do Paranapanema;SP;A
P5;02/10/2022;São Miguel Arcanjo;SP;A
P5;02/10/2022;Araguari;MG;B
P5;02/10/2022;Alto Alegre do Maranhão;MA;A
P5;02/10/2022;Rio das Ostras;RJ;B
P5;02/10/2022;Farroupilha;RS;B
P5;02/10/2022;Macapá;AP;A
P5;02/10/2022;Itapecerica da Serra;SP;B
P5;02/10/2022;Passagem;PB;A
P5;02/10/2022;Holambra;SP;A
P5;02/10/2022;São Miguel Arcanjo;SP;A
P5;02/10/2022;Belém;PA;B
P5;02/10/2022;Portão;RS;B
P5;02/10/2022;Brasília;DF;B
P5;02/10/2022;Tartarugalzinho;AP;B
P5;02/10/2022;Forquilha;CE;B
P5;02/10/2022;Conselheiro Lafaiete;MG;B
P5;02/10/2022;Capitão Poço;PA;B
P5;02/10/2022;Salvador;BA;A
P5;02/10/2022;Santo Anastácio;SP;B
P5;02/10/2022;Cachoeira do Arari;PA;B
P5;02/10/2022;João Neiva;ES;A
P5;02/10/2022;Cuiabá;MT;A
P5;02/10/2022;São João Batista;MA;B
P5;02/10/2022;Uberaba;MG;B
P5;02/10/2022;Uruçuí;PI;A
P5;02/10/2022;Porto Walter;AC;B
P5;02/10/2022;Estrela de Alagoas;AL;A
P5;02/10/2022;Laranja da Terra;ES;A
P5;02/10/2022;Alta Floresta D'Oeste;RO;B
P5;02/10/2022;Capim;PB;B
P5;02/10/2022;Cachoeiro de Itapemirim;ES;A
P5;02/10/2022;Santa Tereza;RS;A
P5;02/10/2022;São Paulo;SP;B
P5;02/10/2022;Manaquiri;AM;A
P5;02/10/2022;Ananindeua;PA;A
P5;02/10/2022;Campo Grande;MS;B
P5;02/10/2022;Teixeira;PB;A
P5;02/10/2022;Sousa;PB;A
P5;02/10/2022;Relvado;RS;B
P5;02/10/2022;Cabaceiras do Paraguaçu;BA;B
P5;02/10/2022;Cuiabá;MT;B
P5;02/10/2022;Caridade do Piauí;PI;A
P5;02/10/2022;Belo Horizonte;MG;A
P5;02/10/2022;Campinas;SP;A
P5;02/10/2022;Brasília;DF;A
P5;02/10/2022;Manhuaçu;MG;B
P5;02/10/2022;Cachoeiro de Itapemirim;ES;B
P5;02/10/2022;José da Penha;RN;A
P5;02/10/2022;Monte Sião;MG;B
P5;02/10/2022;Três Lagoas;MS;B
P5;02/10/2022;Santo Amaro das Brotas;SE;A
P5;02/10/2022;Porto Walter;AC;B
P5;02/10/2022;Sete Barras;SP;B
P5;02/10/2022;Paes Landim;PI;A
P5;02/10/2022;Avelino Lopes;PI;B
P5;02/10/2022;Rio das Ostras;RJ;B
P5;02/10/2022;Pão de Açúcar;AL;A
P5;02/10/2022;Cruzmaltina;PR;B
P5;02/10/2022;Gonçalves;MG;B
P5;02/10/2022;Colatina;ES;B
P5;02/10/2022;Costa Marques;RO;A
P5;02/10/2022;Pindamonhangaba;SP;B
P5;02/10/2022;Forquilha;CE;A
P5;02/10/2022;Rolim de Moura;RO;B
P5;02/10/2022;Flórida Paulista;SP;B
P5;02/10/2022;Divinópolis;MG;B
P5;02/10/2022;Santa Rita;PB;A
P5;02/10/2022;São Miguel Arcanjo;SP;B
P5;02/10/2022;Salvador;BA;B
P5;02/10/2022;Rolândia;PR;B
P5;02/10/2022;Laranjal do Jari;AP;A
P5;02/10/2022;Alagoa Grande;PB;B
P5;02/10/2022;Anicuns;GO;B
P5;02/10/2022;Novo Brasil;GO;A
P5;02/10/2022;Casa Branca;SP;B
P5;02/10/2022;Igrejinha;RS;B
P5;02/10/2022;São Miguel dos Milagres;AL;A
P5;02/10/2022;Recife;PE;A
P5;02/10/2022;Alto Longá;PI;A
P5;02/10/2022;Mogi das Cruzes;SP;B
P5;02/10/2022;Amapá;AP;B
P5;02/10/2022;Santa Luzia;MG;A
P5;02/10/2022;Santa Maria;RN;B
P5;02/10/2022;Rondolândia;MT;B
P5;02/10/2022;Araucária;PR;A
P5;02/10/2022;Matinhos;PR;B
P5;02/10/2022;Goiânia;GO;A
P5;02/10/2022;Brasília;DF;A
P5;02/10/2022;São Miguel Arcanjo;SP;A
P5;02/10/2022;Serra do Navio;AP;B
P5;02/10/2022;Arame;MA;A
P5;02/10/2022;Chapada da Natividade;TO;A
P5;02/10/2022;Itaí;SP;A
P5;02/10/2022;Amambai;MS;B
P5;02/10/2022;Cruzeiro do Sul;AC;B
P5;02/10/2022;Paraty;RJ;A
P5;02/10/2022;Valença do Piauí;PI;A
P5;02/10/2022;Salvador;BA;A
P5;02/10/2022;Jaru;RO;B
P5;02/10/2022;Valente;BA;A
P5;02/10/2022;Nilópolis;RJ;A
P5;02/10/2022;Brasiléia;AC;B
P5;02/10/2022;Itapecerica da Serra;SP;B
P5;02/10/2022;São Paulo;SP;B
P5;02/10/2022;Acrelândia;AC;B
P5;02/10/2022;Cacaulândia;RO;A
P5;02/10/2022;Castelo;ES;B
P5;02/10/2022;Nova Friburgo;RJ;A
P5;02/10/2022;Duque de Caxias;RJ;A
P5;02/10/2022;Canavieira;PI;A
P5;02/10/2022;Imperatriz;MA;A
P5;02/10/2022;Telêmaco Borba;PR;A
P5;02/10/2022;São Gonçalo do Amarante;RN;B
P5;02/10/2022;São José;SC;B
P5;02/10/2022;Madre de Deus;BA;B
P5;02/10/2022;São Luís Gonzaga do Maranhão;MA;B
P5;02/10/2022;São Domingos do Araguaia;PA;A
P5;02/10/2022;Campestre;AL;A
P5;02/10/2022;Mucambo;CE;B
P5;02/10/2022;Campo Grande;MS;B
P5;02/10/2022;Teotônio Vilela;AL;A
P5;02/10/2022;Nova Friburgo;RJ;B
P5;02/10/2022;Iranduba;AM;A
P5;02/10/2022;Pedra Preta;MT;B
P5;02/10/2022;Sumaré;SP;A
P5;02/10/2022;Ribeirão Pires;SP;B
P5;02/10/2022;Coreaú;CE;A
P5;02/10/2022;Paramoti;CE;B
P5;02/10/2022;São Paulo;SP;A
P5;02/10/2022;São Miguel Arcanjo;SP;A
P5;02/10/2022;Catunda;CE;A
P5;02/10/2022;Missão Velha;CE;B
P5;02/10/2022;João Lisboa;MA;B
P5;02/10/2022;Candeias do Jamari;RO;A
P5;02/10/2022;Lucas do Rio Verde;MT;B
P5;02/10/2022;São Domingos;SE;A
P5;02/10/2022;Nova Iguaçu;RJ;B
P5;02/10/2022;Barra do Piraí;RJ;A
P5;02/10/2022;Caicó;RN;A
P5;02/10/2022;Chapada da Natividade;TO;A
P5;02/10/2022;Rio de Janeiro;RJ;B
P5;02/10/2022;Doutor Severiano;RN;A
P5;02/10/2022;Jaraguá do Sul;SC;A
P5;02/10/2022;Mauá;SP;B
P5;02/10/2022;Areia de Baraúnas;PB;A
P5;02/10/2022;Paudalho;PE;B
P5;02/10/2022;Paranaíba;MS;B
P5;02/10/2022;Quixaba;PE;B
P5;02/10/2022;Alto Alegre;RR;B
P5;02/10/2022;Manaus;AM;B
P5;02/10/2022;Taquara;RS;B
P5;02/10/2022;Tutóia;MA;B
P5;02/10/2022;Três Marias;MG;B
P5;02/10/2022;Anicuns;GO;B
P5;02/10/2022;Piracuruca;PI;A
P5;02/10/2022;Alagoa Grande;PB;B
P5;02/10/2022;Boa Esperança;ES;B
P5;02/10/2022;Salinas da Margarida;BA;A
P5;02/10/2022;Pentecoste;CE;B
P5;02/10/2022;Santa Cruz do Sul;RS;B
P5;02/10/2022;Congonhas;MG;A
P5;02/10/2022;São João do Sabugi;RN;A
P5;02/10/2022;Aquidabã;SE;A
P5;02/10/2022;Santos;SP;A
P5;02/10/2022;Alto Alegre;RR;B
P5;02/10/2022;São Paulo;SP;B
P5;02/10/2022;São Miguel Arcanjo;SP;A
P5;02/10/2022;Uruguaiana;RS;A
P5;02/10/2022;Anicuns;GO;B
P5;02/10/2022;Colatina;ES;A
P5;02/10/2022;Cachoeirinha;RS;B
P5;02/10/2022;Alto Alegre;RR;A
P5;02/10/2022;Turilândia;MA;B
P5;02/10/2022;Minaçu;GO;A
P5;02/10/2022;Cáceres;MT;A
P5;02/10/2022;Cícero Dantas;BA;A
P5;02/10/2022;Santo Antônio do Leste;MT;B
P5;02/10/2022;Brasília;DF;B
P5;02/10/2022;Igarapé-Miri;PA;B
P5;02/10/2022;Portão;RS;B
P5;02/10/2022;Rio de Janeiro;RJ;B
P5;02/10/2022;Presidente Castello Branco;SC;A
P5;02/10/2022;Barcelona;RN;A
P5;02/10/2022;Itabaiana;SE;B
P5;02/10/2022;Ribeirão Pires;SP;A
P5;02/10/2022;Florianópolis;SC;B
P5;02/10/2022;Assis;SP;B
P5;02/10/2022;Carnaubeira da Penha;PE;A
P5;02/10/2022;Santa Tereza do Oeste;PR;B
P5;02/10/2022;Pedro Leopoldo;MG;A
P5;02/10/2022;Ataléia;MG;A
P5;02/10/2022;Brasília;DF;B
P5;02/10/2022;Ponta Grossa;PR;B
P5;02/10/2022;Pitanga;PR;B
P5;02/10/2022;Maceió;AL;B
P5;02/10/2022;Mucugê;BA;B
P5;02/10/2022;Santa Cruz do Arari;PA;A
P5;02/10/2022;São Luís;MA;A
P5;02/10/2022;Ipixuna do Pará;PA;A
P5;02/10/2022;Itapebi;BA;B
P5;02/10/2022;Tartarugalzinho;AP;A
P5;02/10/2022;Belmiro Braga;MG;B
P5;02/10/2022;Água Branca;AL;A
P5;02/10/2022;Três Lagoas;MS;A
P5;02/10/2022;Aquidabã;SE;B
P5;02/10/2022;Salvador;BA;B
P5;02/10/2022;Marechal Floriano;ES;A
P5;02/10/2022;Muribeca;SE;B
P5;02/10/2022;São Benedito;CE;A
P5;02/10/2022;Rio Fortuna;SC;B
P5;02/10/2022;Maruim;SE;A
P5;02/10/2022;Belford Roxo;RJ;B
P5;02/10/2022;Água Fria;BA;B
P5;02/10/2022;Aracaju;SE;A
P5;02/10/2022;Natal;RN;B
P5;02/10/2022;Timon;MA;B
P5;02/10/2022;Alagoa Grande;PB;B
P5;02/10/2022;Macapá;AP;B
P5;02/10/2022;Itinga;MG;A
P5;02/10/2022;Jordão;AC;B
P5;02/10/2022;Varre-Sai;RJ;B
P5;02/10/2022;Cocalinho;MT;B
P5;02/10/2022;Presidente Médici;RO;B
P5;02/10/2022;Varginha;MG;B
P5;02/10/2022;Banabuiú;CE;B
P5;02/10/2022;Manaus;AM;A
P5;02/10/2022;Mirandópolis;SP;B
P5;02/10/2022;Porto Velho;RO;B
P5;02/10/2022;Tobias Barreto;SE;B
P5;02/10/2022;Formosa do Oeste;PR;B
P5;02/10/2022;Saúde;BA;A
P5;02/10/2022;Araguaína;TO;B
P5;02/10/2022;Cachoeira do Sul;RS;B
P5;02/10/2022;João Pessoa;PB;B
P5;02/10/2022;Cocalinho;MT;B
P5;02/10/2022;Manaquiri;AM;A
P5;02/10/2022;Vassouras;RJ;B
P5;02/10/2022;Tailândia;PA;B
P5;02/10/2022;Brasília;DF;B
P5;02/10/2022;Laranjal do Jari;AP;A
P5;02/10/2022;Limoeiro de Anadia;AL;A
P5;02/10/2022;Axixá do Tocantins;TO;B
P5;02/10/2022;Ulianópolis;PA;A
